name,id,range_start,range_end
median_household_income,B19001_002E,2500,9999
median_household_income,B19001_003E,10000,14999
median_household_income,B19001_004E,15000,19999
median_household_income,B19001_005E,20000,24999
median_household_income,B19001_006E,25000,29999
median_household_income,B19001_007E,30000,34999
median_household_income,B19001_008E,35000,39999
median_household_income,B19001_009E,40000,44999
median_household_income,B19001_010E,45000,49999
median_household_income,B19001_011E,50000,59999
median_household_income,B19001_012E,60000,74999
median_household_income,B19001_013E,75000,99999
median_household_income,B19001_014E,100000,124999
median_household_income,B19001_015E,125000,149999
median_household_income,B19001_016E,150000,199999
median_household_income,B19001_017E,200000,250001
median_family_income,B19101_002E,2500,9999
median_family_income,B19101_003E,10000,14999
median_family_income,B19101_004E,15000,19999
median_family_income,B19101_005E,20000,24999
median_family_income,B19101_006E,25000,29999
median_family_income,B19101_007E,30000,34999
median_family_income,B19101_008E,35000,39999
median_family_income,B19101_009E,40000,44999
median_family_income,B19101_010E,45000,49999
median_family_income,B19101_011E,50000,59999
median_family_income,B19101_012E,60000,74999
median_family_income,B19101_013E,75000,99999
median_family_income,B19101_014E,100000,124999
median_family_income,B19101_015E,125000,149999
median_family_income,B19101_016E,150000,199999
median_family_income,B19101_017E,200000,250001
median_year_structure_built,B25034_011E,1939,1939
median_year_structure_built,B25034_010E,1940,1949
median_year_structure_built,B25034_009E,1950,1959
median_year_structure_built,B25034_008E,1960,1969
median_year_structure_built,B25034_007E,1970,1979
median_year_structure_built,B25034_006E,1980,1989
median_year_structure_built,B25034_005E,1990,1999
median_year_structure_built,B25034_004E,2000,2009
median_year_structure_built,B25034_003E,2010,2013
median_year_structure_built,B25034_002E,2014,2014
