Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park
Age,0-4 Years,0.022355323,0.02293401,0.049264057,0.035600499,0.023293628,0.036822936,0.046147783,0.052596894,0.06962683,0.033706374,0.018586314,0.039712621,0.045964182,0.046588846,0.037152253,0.023526478,0.046741535,0.011303191,0.024890942,0.059383945,0.081724656,0.060484137,0.057889601,0.067032225,0.033383915,0.042127435,0.047394526,0.059596482,0.052439148,0.049919818,0.045877225,0.047023536,0.017701507,0.040669856,0.051392609,0.060630235,0.057501183,0.054908486,0.044871795,0,0.045364892
Age,5-17 Years,0.070693437,0.033133028,0.026930399,0.074387034,0.031915296,0.066495138,0.049497537,0.061163969,0.088427019,0.068341664,0.019149535,0.05860723,0.03739029,0.06692607,0.057372678,0.059564386,0.074357665,0.109042553,0.072876572,0.090699363,0.135128887,0.111734054,0.164517235,0.118210355,0.108897053,0.1364628,0.115424653,0.141231247,0.079115745,0.136516476,0.117980385,0.106153697,0.051212756,0.093079922,0.090437926,0.226166733,0.15404638,0.060278324,0,0,0.177514793
Age,18-34 Years,0.333473933,0.415844313,0.388122765,0.21062474,0.428512006,0.292712267,0.445241379,0.356892788,0.293434105,0.335294378,0.315122501,0.480794252,0.420425143,0.407574578,0.30846147,0.364909801,0.344172197,0.56349734,0.272004106,0.238945615,0.169922552,0.317129477,0.233694649,0.21496404,0.236602508,0.210386419,0.204151613,0.247180548,0.335319408,0.17973721,0.261714493,0.241854333,0.593338288,0.337852206,0.252063326,0.093737535,0.39517274,0.42701558,0.025641026,0.587301587,0.1617357
Age,35-59 Years,0.315505315,0.270907988,0.376096949,0.298240754,0.314350539,0.37133692,0.294975369,0.327649409,0.333774209,0.311275269,0.209236835,0.262205125,0.366039267,0.35304799,0.429784019,0.366530884,0.383239748,0.238364362,0.344110855,0.426154569,0.392671367,0.383483939,0.33641902,0.427186395,0.358038495,0.367210813,0.366664626,0.349249871,0.337587596,0.357043091,0.33650563,0.343847512,0.190933045,0.311536417,0.351734501,0.38013562,0.340274491,0.361064892,0.275641026,0.412698413,0.214990138
Age,60 and older,0.257971993,0.25718066,0.159585829,0.381146973,0.201928531,0.23263274,0.164137931,0.20169694,0.214737837,0.251382315,0.437904816,0.158680772,0.130181117,0.125862516,0.16722958,0.185468451,0.151488855,0.077792553,0.286117526,0.184816508,0.220552537,0.127168393,0.207479495,0.172606985,0.263078029,0.243812533,0.266364583,0.202741852,0.195538102,0.276783405,0.237922267,0.261120921,0.146814404,0.216861598,0.254371638,0.239329876,0.053005206,0.096732718,0.653846154,0,0.400394477
Educational Attainment,High School or Less,0.259185897,0.158114668,0.112471557,0.671868583,0.186519749,0.402166065,0.065526402,0.069691664,0.084838201,0.206565981,0.264930114,0.137574202,0.136586229,0.069533961,0.069754407,0.276100598,0.248169026,0.293170103,0.125092524,0.07261606,0.082183087,0.126402143,0.472798841,0.214219996,0.468954,0.446092356,0.442419883,0.527374963,0.112790746,0.135292496,0.380124885,0.251095766,0.161367887,0.165559277,0.203330291,0.038661281,0.080525009,0.173815949,0.244966443,0,0.632432432
Educational Attainment,Some College/Associate Degree,0.142814697,0.096663184,0.115505472,0.121971253,0.166659262,0.220417168,0.087104441,0.104415913,0.104472185,0.171861611,0.213786531,0.114150489,0.149271343,0.146628656,0.14592887,0.22021839,0.17281106,0.319587629,0.203997039,0.145075282,0.156909408,0.132345555,0.261131123,0.195103251,0.220383584,0.269009711,0.264684728,0.287289139,0.121977701,0.192138083,0.250786582,0.226366055,0.287069196,0.165174894,0.207368683,0.115406809,0.077687123,0.144784591,0.137583893,0.063492063,0.278378378
Educational Attainment,College Degree,0.356244429,0.443311006,0.38427782,0.138726899,0.403741058,0.25182511,0.541408398,0.469847291,0.450854442,0.350471294,0.253494282,0.465265522,0.454068087,0.456742687,0.412361154,0.305252236,0.355188446,0.255798969,0.378534419,0.393716018,0.346025702,0.407332998,0.182331316,0.311592721,0.218511209,0.212988043,0.187005514,0.147380882,0.41992734,0.368497209,0.256934024,0.352828999,0.345845578,0.415792653,0.363704257,0.351990767,0.508336289,0.360379641,0.251677852,0.777777778,0.02972973
Educational Attainment,Graduate/Professional Degree,0.241754977,0.301911141,0.387745151,0.067433265,0.243079931,0.125591657,0.305960759,0.356045132,0.359835171,0.271101114,0.267789072,0.283009787,0.260074341,0.327094695,0.371955569,0.198428776,0.223831468,0.131443299,0.292376018,0.388592639,0.414881802,0.333919304,0.08373872,0.279084032,0.092151207,0.07190989,0.105889875,0.037955016,0.345304213,0.304072211,0.112154509,0.16970918,0.205717339,0.253473176,0.225596769,0.493941143,0.333451579,0.321019819,0.365771812,0.158730159,0.059459459
Employment,Unemployment Rate,0.052547981,0.018323197,0.041180687,0.069606513,0.051029639,0.069955905,0.026307482,0.035797332,0.0473898,0.045477885,0.016200295,0.06968926,0.023590828,0.027988419,0.034768914,0.028959891,0.038232837,0.157807309,0.021715288,0.039010709,0.039517882,0.025292601,0.070842095,0.031000829,0.050552923,0.039793796,0.048376553,0.066295101,0.033664313,0.027147431,0.043787734,0.039178595,0.133067199,0.042288895,0.035979067,0.035901926,0.019832985,0.018263305,0,0,0.137931034
