Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf
Population,Total Population,11934,18237,22963,14310,26247,29726,25186,23953,10445,22299,3624,17350,19818,19181,23138,25132,58424,3184,8068,22628,8654,14845,38480,26149,24646,40980,16243,19875,28551,38485,27335,81639,14368,22753,45745,2416,4073,13330,185,32,153,874784
Population,Group Quarter Population,17,5,581,55,891,1544,98,511,158,273,50,2946,524,320,72,1430,1588,1084,993,104,38,6,218,178,195,547,195,89,952,221,307,448,2673,161,191,0,0,321,185,0,0,20169
Population,Percent Female,0.482738395,0.530734222,0.451073466,0.518099231,0.478111784,0.4435511,0.523544826,0.504237465,0.515461944,0.49450648,0.5549117,0.538270893,0.442728832,0.460299254,0.369521998,0.416918669,0.449866493,0.447864322,0.403817551,0.460844971,0.512364225,0.47719771,0.505535343,0.471528548,0.496470015,0.503465105,0.498737918,0.494591195,0.525655844,0.510822398,0.498225718,0.509560382,0.528326837,0.547751945,0.528145152,0.516142384,0.542106555,0.506751688,0,0.25,0.803921569,0.489878644
Households,Housholds,6308,9601,11967,6751,15225,18082,12832,12860,5054,11719,2312,6298,9577,8219,11491,12788,23217,646,3474,10721,3595,6901,11824,9190,6635,11306,4901,5280,12081,14210,8126,27762,4913,8897,18980,868,1318,6065,0,25,122,362141
Households,Family Households,0.37983513,0.371836267,0.394167293,0.522885498,0.254515599,0.220384913,0.326839152,0.317418351,0.461812426,0.327161021,0.207179931,0.417434106,0.309804741,0.383623312,0.331911931,0.333593994,0.39854417,0.585139319,0.425158319,0.45844604,0.555771905,0.480799884,0.693843031,0.601741023,0.731273549,0.740049531,0.721485411,0.771780303,0.468669812,0.72765658,0.627368939,0.661047475,0.438428659,0.509047994,0.537881981,0.747695853,0.626707132,0.508656224,0,0.12,0.245901639,0.471266717
Households,Non-Family Households,0.62016487,0.628163733,0.605832707,0.477114502,0.745484401,0.779615087,0.673160848,0.682581649,0.538187574,0.672838979,0.792820069,0.582565894,0.690195259,0.616376688,0.668088069,0.666406006,0.60145583,0.414860681,0.574841681,0.54155396,0.444228095,0.519200116,0.306156969,0.398258977,0.268726451,0.259950469,0.278514589,0.228219697,0.531330188,0.27234342,0.372631061,0.338952525,0.561571341,0.490952006,0.462118019,0.252304147,0.373292868,0.491343776,0,0.88,0.754098361,0.528733283
Households,"Single Person Households, % of Total",0.476696259,0.406311843,0.415810145,0.420085913,0.551592775,0.679183719,0.450124688,0.529548989,0.396121884,0.489034901,0.637110727,0.325182598,0.410462567,0.296264752,0.403359151,0.541288708,0.341603136,0.116099071,0.406447899,0.367689581,0.302364395,0.317345312,0.223190122,0.224700762,0.148455162,0.167698567,0.200979392,0.154734848,0.358827912,0.192470091,0.245385183,0.219112456,0.368817423,0.273912555,0.329873551,0.213133641,0.119878604,0.333553174,0,0.72,0.754098361,0.362618428
Households,"Households with Children, % of Total",0.146163602,0.074575565,0.087323473,0.145756184,0.052873563,0.086771375,0.138793641,0.119362364,0.201424614,0.104616435,0.03416955,0.141473484,0.091364728,0.15525003,0.122617701,0.111745386,0.175431796,0.309597523,0.109959701,0.177222274,0.242837274,0.222141719,0.351573072,0.302611534,0.281688018,0.311339112,0.267700469,0.380871212,0.192450956,0.276073188,0.269136106,0.252179238,0.139426013,0.247948747,0.225026344,0.373271889,0.406676783,0.204946414,0,0,0,0.184657357
Households,"Households with 60 years and older, % of Total",0.389346861,0.347672117,0.171722236,0.587024145,0.27908046,0.335416436,0.226698878,0.297045101,0.328254848,0.386381091,0.560121107,0.313432836,0.18325154,0.206351138,0.258289096,0.249139819,0.246586553,0.26006192,0.387737478,0.301277866,0.386091794,0.196493262,0.463379567,0.318715996,0.502336096,0.540332567,0.50805958,0.484090909,0.321579339,0.529275158,0.522028058,0.478639867,0.387339711,0.351803979,0.435036881,0.497695853,0.141881639,0.153338829,0,0,1,0.353240865
Households,Average Household Size,1.889188332,1.898968857,1.870310019,2.111539031,1.665418719,1.55856653,1.955112219,1.822861586,2.035417491,1.879511904,1.545847751,2.287075262,2.014618356,2.294804721,2.007310069,1.853456365,2.448033768,3.250773994,2.036557283,2.100923421,2.396662031,2.150268077,3.235960758,2.826006529,3.685154484,3.576242703,3.274433789,3.747348485,2.284496317,2.692751583,3.326113709,2.924537137,2.380419296,2.539282904,2.400105374,2.783410138,3.090288316,2.144929926,0,1.28,1.254098361,2.359895731
