Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf,Category
Total Population,11740.0,17291.0,23089.0,13693.0,24762.0,32056.0,23910.0,22996.0,10470.0,22211.0,3708.0,16504.0,19039.0,18473.0,22623.0,24521.0,55999.0,3136.0,7956.0,23079.0,8723.0,15037.0,40495.0,24767.0,22636.0,38846.0,15741.0,18046.0,27729.0,37480.0,24627.0,78826.0,12529.0,20992.0,44573.0,2348.0,3952.0,16080.0,186.0,38.0,129.0,851036.0,Population
Group Quarter Population,42.0,5.0,637.0,84.0,899.0,2500.0,114.0,550.0,73.0,527.0,174.0,2483.0,707.0,393.0,74.0,1796.0,2417.0,1095.0,1016.0,114.0,46.0,125.0,263.0,170.0,228.0,630.0,206.0,118.0,1127.0,267.0,329.0,614.0,2061.0,240.0,285.0,0.0,1.0,773.0,186.0,0.0,0.0,23369.0,Population
Percent Female,0.4539182282793867,0.5189983228269042,0.4629044133570098,0.5339224421237129,0.4704789596963089,0.41405665086099325,0.526348808030113,0.5005653157070795,0.5119388729703916,0.49187339606501285,0.5426105717367853,0.5322952011633544,0.4424076894794895,0.43506739565852864,0.37041948459532337,0.40475510786672647,0.45381167520848587,0.39317602040816324,0.4488436400201106,0.454482429914641,0.5464863005846612,0.48214404468976524,0.4989998765279664,0.46699236887794243,0.48590740413500616,0.5037584307264583,0.4770344959024204,0.5080904355535852,0.5287244401168452,0.5014140875133405,0.5029439233361758,0.4995559840661711,0.5251815787373294,0.5316310975609756,0.5259237655082674,0.5259795570698467,0.5371963562753036,0.5062189054726368,0.0,0.3157894736842105,0.9534883720930233,0.4852238918212626,Population
Housholds,6240.0,9545.0,13017.0,6561.0,14430.0,18122.0,12390.0,12782.0,4948.0,11344.0,2249.0,6137.0,9356.0,8192.0,11723.0,13103.0,23266.0,626.0,3380.0,10759.0,3577.0,7403.0,12324.0,9145.0,6325.0,11156.0,4845.0,5069.0,11905.0,14029.0,7765.0,27333.0,4796.0,8757.0,18927.0,878.0,1331.0,6961.0,0.0,28.0,118.0,360842.0,Households
Family Households,0.3923076923076923,0.3426925091671032,0.3460090650687562,0.5093735711019661,0.2632016632016632,0.2393775521465622,0.3440677966101695,0.307854795806603,0.4759498787388844,0.3407087447108604,0.2463317029791018,0.42235620009776764,0.2870884993587003,0.3529052734375,0.334129489038642,0.3114553918949859,0.40471073669732655,0.476038338658147,0.4414201183431953,0.449484152802305,0.5918367346938775,0.4068620829393489,0.6972573839662447,0.6342263531984691,0.7601581027667984,0.7389745428468986,0.7405572755417956,0.7753008482935491,0.46484670306593867,0.7171573169862427,0.6365743721828718,0.6760326345443237,0.4105504587155963,0.513532031517643,0.5387541607227769,0.7312072892938497,0.5822689706987227,0.5161614710530096,0.0,0.39285714285714285,0.09322033898305085,0.47024736588312893,Households
Non-Family Households,0.6076923076923076,0.6573074908328969,0.6539909349312437,0.4906264288980338,0.7367983367983368,0.7606224478534378,0.6559322033898305,0.692145204193397,0.5240501212611156,0.6592912552891397,0.7536682970208982,0.5776437999022324,0.7129115006412997,0.6470947265625,0.665870510961358,0.6885446081050142,0.5952892633026734,0.5239616613418531,0.5585798816568047,0.550515847197695,0.40816326530612246,0.5931379170606511,0.3027426160337553,0.3657736468015309,0.23984189723320157,0.2610254571531015,0.2594427244582043,0.22469915170645097,0.5351532969340613,0.2828426830137572,0.3634256278171281,0.3239673654556763,0.5894495412844036,0.48646796848235696,0.461245839277223,0.26879271070615035,0.41773102930127726,0.48383852894699036,0.0,0.6071428571428571,0.9067796610169492,0.5297526341168711,Households
"Single Person Households, % of Total",0.5006410256410256,0.4613933996856993,0.464546362449105,0.43362292333485747,0.542896742896743,0.666758635912151,0.4405165456012914,0.5398216241589736,0.37227162489894905,0.49779619181946405,0.6167185415740329,0.31399706697083263,0.44110731081658827,0.31884765625,0.4259148682077966,0.5627718843013051,0.36069801426974984,0.22044728434504793,0.3970414201183432,0.35691049354029186,0.27229521945764606,0.35958395245170877,0.23506978253813696,0.22361946418808093,0.14608695652173914,0.16197561850125494,0.1954592363261094,0.16295127244032354,0.34716505669886605,0.2072849098296386,0.24043786220218932,0.2124538104123221,0.3999165971643036,0.30181569030489896,0.33835261795318855,0.21753986332574032,0.14951164537941397,0.31231144950438156,0.0,0.6071428571428571,0.9067796610169492,0.37070518398634306,Households
"Households with Children, % of Total",0.14727564102564103,0.07909900471451022,0.06422370745947607,0.15333028501752782,0.04948024948024948,0.09954751131221719,0.14221146085552866,0.10702550461586606,0.2085691188358933,0.09820169252468265,0.031124944419742107,0.1652273097604693,0.09918768704574604,0.1568603515625,0.11080781369956495,0.1075326261161566,0.1672397489899424,0.28115015974440893,0.1363905325443787,0.19918208011897015,0.24713447022644675,0.17587464541402134,0.3599480688088283,0.29753963914707493,0.3324901185770751,0.3124775905342417,0.24932920536635708,0.337936476622608,0.19353212935741285,0.26780240929503174,0.2749517063747585,0.2650642081000988,0.1328190158465388,0.23820943245403678,0.23548370053362921,0.33029612756264237,0.3651389932381668,0.17914092802758225,0.0,0.0,0.0,0.18424407358345204,Households
"Households with 60 years and older, % of Total",0.3778846153846154,0.34070193818753275,0.20281170776676655,0.6089010821521109,0.2910602910602911,0.32286723319721883,0.20686037126715093,0.3104365514004068,0.3276071139854487,0.40162200282087446,0.5642507781236105,0.30030959752321984,0.15711842667806755,0.196044921875,0.2867866587051096,0.28932305578875067,0.2593484053984355,0.24440894568690097,0.40710059171597635,0.29844781113486385,0.3838412077159631,0.20883425638254763,0.4612950340798442,0.35199562602515033,0.5029249011857707,0.5140731444962352,0.5073271413828689,0.5245610574077727,0.3385972280554389,0.5420201012189036,0.4972311654861558,0.5026890571836242,0.3705170975813178,0.372844581477675,0.4233106144661066,0.520501138952164,0.11119459053343352,0.16463151845999138,0.0,0.0,1.0,0.35786854080179137,Households
Average Household Size,1.8746794871794872,1.8110005238344684,1.7248213874164553,2.07422648986435,1.6537075537075536,1.6309458117205606,1.9205811138014528,1.7560632138945391,2.10125303152789,1.9114950634696757,1.5713650511338373,2.2846667752973766,1.9593843522873022,2.20703125,1.923483749893372,1.7343356483248111,2.303017278432047,3.2603833865814695,2.0532544378698225,2.1344920531647924,2.425775789767962,2.014318519519114,3.2645245050308342,2.6896664844177147,3.542766798418972,3.4256005736823236,3.2063983488132095,3.536792266719274,2.2345233095338095,2.6525768051892507,3.1291693496458466,2.8614495298723157,2.1826522101751458,2.3697613337901107,2.339937655201564,2.6742596810933943,2.9684447783621337,2.1989656658526076,0.0,1.3571428571428572,1.0932203389830508,2.293710266543252,Households
