Neighborhood,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
Bayview Hunters Point,38480.0,218.0,0.5055353430353431,11824.0,0.6938430311231394,0.3061569688768606,0.22319012178619757,0.3515730717185386,0.4633795669824087,3.2359607577807847,3.9644076060458313,0.3926975051975052,0.2614345114345114,0.13212058212058211,0.002312889812889813,0.015566528066528067,0.19586798336798336,0.23227650727650728,0.060343035343035346,0.15088357588357587,0.24511434511434513,0.3287681912681913,0.2148908523908524,0.46685722555901293,0.25909979014400464,0.18995585787683625,0.08408712642014618,0.41283783783783784,0.44178328447369875,0.19099507716134742,0.3516510868963991,0.01219647104375242,0.003374080424802257,0.15205487029149842,0.041042093036119255,0.10940870623375187,0.0014934454339288678,0.0,12747.0,1965.0,0.5295162381596752,0.47048376184032475,0.07240919432023221,0.05417118093174431,0.05850487540628386,0.1495124593716143,0.09317443120260022,0.6446370530877573,2003.0025046963056,2011.4660973084885,0.9433917636855799,0.003994638774276629,0.6039852514317094,0.1486624303757747,0.06840825292225622,0.02384874872519024,0.15187887346042206,0.003216443084647368,0.03671452106377971,0.12026359143327842,0.3665960618184671,0.442613948380011,0.0338118773044638,1179.4093851132686,1066.9776119402986,31.58646748681898,816855.4938007696,17724.0,0.6747348228390883,0.32526517716091174,0.4606029106029106,0.17929634641407308,0.07906085289889794,0.29210857451015637,68397.12918660288,72559.80861244019,31164.963617463618,0.15581637976004173,0.08254880586661381,0.5243286096521653,0.5582201962144485,18499.0,0.32704470511919564,0.27887993945618683,0.20438942645548408,0.0758959943780745,0.11378993459105897,17983.0,0.5831062670299727,0.44536506700772954,0.13774120002224324,0.28749374409164213,0.010231885669799256,0.03453261413557249,0.03325362842684758,0.051381860646165824,38480.0
Bernal Heights,26149.0,178.0,0.4715285479368236,9190.0,0.6017410228509249,0.3982589771490751,0.22470076169749728,0.3026115342763874,0.31871599564744285,2.826006528835691,3.5629294755877035,0.17908906650349918,0.034532869325786836,0.5055642663199358,0.007992657463000498,0.0005736357030861601,0.27224750468469155,0.3072010401927416,0.07296646143255957,0.11189720448200696,0.22104095758920037,0.41439443190944203,0.1797009445867911,0.24318740777176587,0.19463846532218396,0.29744220363994095,0.2647319232661092,0.2736242303720984,0.5993977146157337,0.24701951239635328,0.10700878676622251,0.04121117115630543,0.005362815065385091,0.0480590734705664,0.033125696134647914,0.013737057052101811,0.0011963202838166742,0.0,9993.0,1939.0,0.5622415669205658,0.4377584330794342,0.08035624937456219,0.11581569115815692,0.038605230386052306,0.48194271481942713,0.06973848069738481,0.29389788293897884,2002.584541062802,2012.1992320819113,0.8990546015820953,0.007486011962184063,0.5718002601821275,0.32802962073451414,0.03272290603422396,0.0204142900030021,0.04132893025117582,0.005703992794956469,0.045331732212548784,0.1715200640448314,0.3638546982888022,0.3994796357450215,0.01981386970879616,1972.0828105395233,1899.1885143570537,21.39527027027027,1283412.1821407452,12777.0,0.6405259450575252,0.35947405494247475,0.48862289188879116,0.16245919477693144,0.10218695568027869,0.2398707432264479,144454.88721804513,160744.38202247192,70729.27836628552,0.06529592621060723,0.031343951896628926,0.4365764728459029,0.594767479050726,15143.0,0.6093244403354685,0.14277223799775474,0.1447533513834775,0.06306544277884171,0.040084527504457505,14818.0,0.45734916992846536,0.38372249966257255,0.07362667026589283,0.24814414900796328,0.07004993926305844,0.04089620731542718,0.035632339047104875,0.14792819543798083,26149.0
Castro/Upper Market,23138.0,72.0,0.3695219984441179,11491.0,0.33191193107649464,0.6680880689235054,0.403359150639631,0.12261770080932904,0.2582890958141154,2.0073100687494563,2.7115888830624018,0.12105627106923675,0.028740599878986948,0.748552165269254,0.0022906042008816667,0.004883741032068459,0.09447661854957214,0.08198634281268909,0.03146339355173308,0.06841559339614486,0.2880110640504797,0.44264845708358547,0.16946149191805687,0.07086099376383022,0.14544357272178637,0.42184671092335546,0.36184872259102796,0.18065519923934653,0.8149486836233825,0.04694332887103971,0.05604640785363677,0.0643462739848282,0.017715305667112897,0.00499776885319054,0.0009817045961624275,0.001606425702811245,0.0024096385542168677,0.0,12697.0,1939.0,0.42781307109912103,0.572186928900879,0.09498306686618886,0.2678275290215589,0.005804311774461028,0.4966832504145937,0.13598673300165837,0.09369817578772803,2006.0423560555923,2012.733644859813,0.8340297727866284,0.027988160529293985,0.21635031897298573,0.40363865480034655,0.14554619201386154,0.10207135543829252,0.12814050563125148,0.004252973143262188,0.0976608647712058,0.3211782310782075,0.3100732456485784,0.24714499488068048,0.023942663621327874,2248.3237547892722,2181.2996031746034,20.86973525872443,1374206.3492063493,11156.0,0.5873969164575117,0.41260308354248837,0.4821505748119976,0.29910364633191194,0.11513425549227013,0.4366539923954373,171553.49794238684,203758.63724539283,106927.39216872677,0.06753122831367106,0.039055136663524975,0.3472549481621112,0.6918001885014138,16292.0,0.7461330714461085,0.07917996562730174,0.14013012521482937,0.011293886570095753,0.02326295114166462,15877.0,0.2513069219625874,0.2104301820243119,0.040876739938275494,0.4286704037286641,0.04975751086477294,0.06399193802355609,0.04440385463248724,0.16186937078793223,23138.0
Chinatown,14310.0,55.0,0.5180992313067785,6751.0,0.5228854984446749,0.47711450155532514,0.4200859131980447,0.1457561842689972,0.5870241445711747,2.111539031254629,2.9206798866855523,0.8417190775681341,0.0011879804332634522,0.10985324947589098,0.007966457023060796,0.002236198462613557,0.037037037037037035,0.035429769392033544,0.026345213137665968,0.0740041928721174,0.22068483577917541,0.30279524807826697,0.3761705101327743,0.6814342497515734,0.11154355746936072,0.13862206028486254,0.06840013249420338,0.739832285115304,0.19636833417067395,0.024043637407593483,0.7617885595349171,0.016651116055408022,0.0011483528314074499,0.551281131127539,0.012560109093518984,0.5340558386564271,0.0035168305461853156,0.0,7537.0,1939.0,0.06724929640053326,0.9327507035994668,0.10428552474459334,0.3982188295165394,0.0,0.07760814249363868,0.08651399491094147,0.43765903307888043,2006.6233766233765,2009.6693973083675,0.9335531855178221,0.005823744035924783,0.017646278360090223,0.13055592410773517,0.10839856706912565,0.17540135332360354,0.5640175135995754,0.003980363539869975,0.5337667506965637,0.18269868648003185,0.1894653044978108,0.06487992569988059,0.02918933262571315,771.0207612456747,740.9459459459459,30.60446584938704,1175496.688741722,1636.0,0.24511002444987776,0.7548899755501223,0.1143256464011181,0.7474448229891868,0.2511013215859031,0.7832301095759886,27220.49689440994,34031.007751937985,30912.816212438855,0.2587427289929217,0.05966138134909971,0.5188121472722387,0.540849234076861,6998.0,0.29351243212346384,0.3983995427264933,0.1733352386396113,0.04558445270077165,0.0891683338096599,6578.0,0.14685314685314685,0.11888111888111888,0.027972027972027972,0.31529340224992397,0.008817269686834904,0.4513529948312557,0.015962298570994224,0.06172088780784433,14310.0
Excelsior,40980.0,547.0,0.5034651049292338,11306.0,0.7400495312223598,0.25995046877764016,0.167698567132496,0.311339111975942,0.5403325667787016,3.576242702989563,4.225170311939763,0.511517813567594,0.019521717911176184,0.21976573938506588,0.004563201561737433,0.001586139580283065,0.2430453879941435,0.3142020497803807,0.03735968765251342,0.1272327964860908,0.23030746705710103,0.34546120058565155,0.25963884821864325,0.43048903453491305,0.2784534913032518,0.22246029745399545,0.06859717670783967,0.4907515861395803,0.32989429389845115,0.24084260691018783,0.40325483535704326,0.02352404370199498,0.0024842201323227457,0.11784836117518822,0.03954472863697432,0.07701082410200512,0.0004055869603792238,0.0,11791.0,1942.4250440917108,0.6975057491597382,0.3024942508402618,0.04113306759392757,0.12989690721649486,0.0,0.1154639175257732,0.04536082474226804,0.709278350515464,1997.3381294964029,2009.454382826476,0.9282269711879758,0.0039166727864678955,0.8276651683487406,0.08277499787973878,0.034093800356203886,0.04113306759392757,0.01094054787549826,0.0033924179458909337,0.025951997286065644,0.08447120685268425,0.35043677381053345,0.49342719022983633,0.04571283182088033,1807.8055964653904,1543.010752688172,29.894098360655736,925128.7711552612,20462.0,0.7285700322549116,0.27142996774508843,0.4993167398731088,0.1142756058729878,0.08534111082931778,0.18099415204678362,94207.31707317074,98369.08931698774,32690.73206442167,0.09665482901631609,0.05293605915615485,0.4935189212701174,0.5594171378860374,21773.0,0.3540623708262527,0.2743305929362054,0.20773434988288247,0.06457539153998071,0.09929729481467874,21121.0,0.550873538184745,0.42876757729274184,0.12210596089200322,0.3459116519104209,0.006012972870602718,0.015860991430330002,0.017044647507220304,0.06429619809668102,40980.0
Financial District,22963.0,581.0,0.4510734660105387,11967.0,0.39416729339015627,0.6058327066098438,0.4158101445642183,0.08732347288376369,0.17172223614941087,1.8703100192195203,2.443502225991096,0.43352349431694465,0.02290641466707312,0.4689282759221356,0.0,0.004833863171188434,0.06980795192265819,0.05648216696424683,0.04851282497931455,0.023254801201933545,0.4502024996733876,0.3500849192178722,0.12794495492749206,0.08299228099259183,0.10070973423820131,0.35450448116873023,0.4617935036004766,0.39620258677002135,0.5619479152363953,0.044029475033182296,0.25905075747173784,0.12806078081376723,0.006911071444917387,0.05130669595862511,0.006316078539063573,0.033182296672616594,0.011167559156025447,0.0006407615909194929,15240.0,2003.0735845334386,0.37595053062588785,0.6240494693741121,0.21476377952755907,0.20256645279560037,0.07668805377329667,0.12832263978001834,0.4778490681332111,0.1145737855178735,2012.878614916286,2015.703713743562,0.7228926274993394,0.03281071082533251,0.051443569553805774,0.0009186351706036745,0.0066929133858267716,0.012992125984251968,0.9279527559055119,0.0,0.2230971128608924,0.3207349081364829,0.35616797900262465,0.09632545931758531,0.003674540682414698,2852.377300613497,2820.2781844802344,20.08271028037383,1414062.5,8079.0,0.5343483104344597,0.4656516895655403,0.3518268518921744,0.3847246594802373,0.12558346299177595,0.54084092126406,201353.71268292682,213882.6379785605,141841.25332055916,0.09887018068316701,0.04039985803856619,0.46894593635395715,0.5714539216846091,16223.0,0.8050298958269124,0.06139431671084263,0.10608395487887567,0.007890032669666524,0.01960179991370277,15553.0,0.153025139844403,0.14325210570307978,0.009773034141323217,0.22182215649713882,0.019546068282646434,0.3976081784864656,0.02269658586767826,0.18530187102166784,22963.0
Glen Park,8654.0,38.0,0.5123642246360065,3595.0,0.5557719054242003,0.4442280945757997,0.3023643949930459,0.24283727399165508,0.38609179415855355,2.396662030598053,3.1296296296296298,0.1469840536168246,0.06528772821816502,0.6252599953778599,0.002195516524150682,0.0,0.16027270626299978,0.12629997688929975,0.06563438872197827,0.13045990293505894,0.19932978969262768,0.3771666281488329,0.2274092905015022,0.08769716088328075,0.13974763406940063,0.3602523659305994,0.4123028391167192,0.19447654263924197,0.7498144941874846,0.08953747217412812,0.06888449171407371,0.07494434825624537,0.016819193668068267,0.025476131585456346,0.005070492208755874,0.00729656195894138,0.011006678209250557,0.0021023992085085334,3710.0,1952.888888888889,0.6189151599443672,0.3810848400556328,0.03099730458221024,0.06956521739130435,0.0,0.0,0.06956521739130435,0.8608695652173913,2002.05,2011.3725490196077,0.9123650868137025,0.006217738151102769,0.6398921832884097,0.23477088948787062,0.02425876010781671,0.015902964959568732,0.08517520215633423,0.0,0.025067385444743934,0.14123989218328842,0.37870619946091644,0.44097035040431265,0.014016172506738544,1991.3249211356467,1839.6084337349398,18.181877729257643,1497018.7393526407,5060.0,0.649407114624506,0.35059288537549405,0.5847007164317078,0.10208623087621697,0.05797752808988764,0.17372262773722627,172216.15720524016,201220.751953125,85575.02888837532,0.0583545181418997,0.03640869233701868,0.4940907357987038,0.5423179565383149,5036.0,0.7654884829229547,0.08359809372517871,0.08737092930897537,0.021445591739475776,0.04209690230341541,4949.0,0.445140432410588,0.39038189533239037,0.05475853707819762,0.27379268539098806,0.02768236007274197,0.016973125884016973,0.02727823802788442,0.20913315821378056,8654.0
Golden Gate Park,32.0,0.0,0.25,25.0,0.12,0.88,0.72,0.0,0.0,1.28,1.6666666666666667,0.15625,0.0,0.6875,0.0,0.0,0.15625,0.15625,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.71875,0.28125,0.3125,0.6875,0.15625,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1991.0714285714287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.9285714285713,0.71875,0.0,0.12,0.56,0.0,0.16,0.16,0.0,0.0,0.44,0.56,0.0,0.0,844.6428571428571,844.6428571428571,15.267857142857142,0.0,43.0,-15503875.953488372,1.0,1.34375,0.0,0.0,0.0,97321.42857142858,175000.0,91684.375,0.0,0.0625,0.25,0.8125,30.0,0.4,0.13333333333333333,0.0,0.4666666666666667,0.0,30.0,0.7,0.7,0.0,0.13333333333333333,0.0,0.16666666666666666,0.0,0.0,32.0
Haight Ashbury,19181.0,320.0,0.46029925447056985,8219.0,0.3836233118384232,0.6163766881615769,0.29626475240296873,0.1552500304173257,0.20635113760798152,2.29480472076895,2.9521091024421184,0.11959751837756114,0.046139408789948384,0.7523069704394975,0.00020853970074552944,0.0,0.08174756269224753,0.07189406183202127,0.04911109952557218,0.06814034721860174,0.4275585214535217,0.33600959282623427,0.11918043897607007,0.06845407872219053,0.13475312163275655,0.4803194523673702,0.3164733472776827,0.15030498931234035,0.8367783321454028,0.029716541477054662,0.05345687811831789,0.07292066451011568,0.007127583749109052,0.005866549701189759,0.0,0.0018093097209276824,0.004057239980262076,0.0,9025.0,1939.0,0.26852415135661273,0.7314758486433873,0.08930747922437673,0.12655086848635236,0.0,0.40074441687344914,0.3784119106699752,0.09429280397022333,2006.7780172413793,2013.9576439444077,0.7953508120157096,0.013798959770724976,0.1509141274238227,0.39124653739612186,0.21717451523545706,0.16565096952908587,0.0699168975069252,0.005096952908587258,0.07213296398891966,0.31534626038781166,0.2535180055401662,0.3299722991689751,0.029030470914127422,2486.7829021372327,2356.6933638443934,20.324363425925927,1595603.27198364,7651.0,0.38426349496797807,0.6157365050320219,0.3988843126010114,0.3297238106825648,0.14182147711826007,0.39870259481037923,170788.72234118485,204011.2456242707,92569.32381002033,0.0659033347403968,0.02825570009791579,0.4663589313190656,0.5618967687788502,13894.0,0.6909457319706348,0.07067799049949619,0.19296099035554914,0.020656398445372103,0.024758888728947746,13682.0,0.22050869755883643,0.19185791550942843,0.02865078204940798,0.4196023973103348,0.07330799590703113,0.06490279198947523,0.05766700774740535,0.1640111094869171,19181.0
Hayes Valley,19818.0,524.0,0.4427288323746089,9577.0,0.3098047405241725,0.6901952594758275,0.4104625665657304,0.09136472799415266,0.1832515401482719,2.0146183564790645,2.7411526794742165,0.17403370673125443,0.072308002825714,0.6116661620748814,0.0024724997477041074,0.0009082652134423251,0.13861136340700372,0.12609748713290947,0.04738116863457463,0.025683721869007973,0.4323342415985468,0.3793016449692199,0.11529922292865072,0.14148836115683047,0.14413355278626852,0.4413943098988949,0.2729837761580061,0.20420829548894945,0.7798082525557498,0.08204883733248583,0.0645690979395095,0.05741829546056465,0.016155516711690236,0.03066899729858573,0.011970973038826209,0.015149107473912814,0.0028073520843265,0.0007415647015202076,10817.0,1939.0,0.19672131147540983,0.8032786885245902,0.11463437182213183,0.3741935483870968,0.021774193548387097,0.3088709677419355,0.06451612903225806,0.2306451612903226,2011.1962134251291,2013.6224489795918,0.8210553278688525,0.007633196721311475,0.07146158824073218,0.2548765831561431,0.17527965239900156,0.1596560968845336,0.33743182028288804,0.0012942590367014885,0.203476009984284,0.32171581769436997,0.3188499583988167,0.1519829897383748,0.003975224184154571,2260.228166797797,2223.877708978328,22.03915871639202,1290064.1025641025,6927.0,0.2854049372022521,0.714595062797748,0.3495307296397215,0.4041975566461314,0.17781316348195328,0.4596386325230729,140844.43099273607,172616.5254237288,90735.55858310626,0.08614692040106404,0.030220510095642934,0.442547821466525,0.5876726886291179,14601.0,0.7004999657557701,0.10602013560715019,0.14546948839120608,0.00835559208273406,0.03965481816313951,14146.0,0.23059522126396154,0.1798388236957444,0.05075639756821716,0.38173335218436305,0.08108299165841934,0.14343277251519865,0.03576982892690513,0.12738583345115226,19818.0
