Supervisor District,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),Latino Population (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,"Overcrowding, Renter Occupied Housing",Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Rent Burdened,Extremely Rent Burdened,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Household Income Less than 10000,Household Income 10000 to 14999,Household Income 15000 to 19999,Household Income 20000 to 24999,Household Income 25000 to 29999,Household Income 30000 to 34999,Household Income 35000 to 39999,Household Income 40000 to 44999,Household Income 45000 to 49999,Household Income 50000 to 59999,Household Income 60000 to 74999,Household Income 75000 to 99999,Household Income 100000 to 124999,Household Income 125000 to 149999,Household Income 150000 to 199999,Household Income Greater than 200000,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
1,80411.0,3040.0,0.53340960813819,31887.0,0.5167309561890425,0.4832690438109574,0.31580267820742,0.22150092514190736,0.4029228212124063,2.426412017436573,3.1337622139952663,0.39204835159368745,0.021116513909788463,0.4754822101453781,0.0018778525326136972,0.0009327082115630946,0.1085423636069692,0.07925532576388802,6373.0,0.053748865205009266,0.0889306189451692,0.30503289350959445,0.3209884219820671,0.23129920035815996,0.16853237878294827,0.19323136999674584,0.3908070289619265,0.24742922225837943,0.3111141510489858,0.5949480213959968,0.04104404053148287,0.27325894675971557,0.07746191959415948,0.013287071718645271,0.08687195258184495,0.0020239456426027415,0.06410913535465047,0.01582357502398507,0.003969036260169013,34470.0,1939.0,0.3840436541537304,0.6159563458462697,0.07493472584856396,0.16879597367402246,0.06426635694928377,0.16802168021680217,0.1111111111111111,0.4878048780487805,1997.6114790286977,2011.7225461613216,0.8524249858463862,0.012077750518965842,0.044040527468051524,0.28398607484769367,0.4303162170002901,0.12532637075718014,0.10490281404119524,0.055468523353640845,0.0,0.0650130548302872,0.23739483608935305,0.34511169132579056,0.319002030751378,0.03347838700319118,2057.4292077632836,1978.2905516111414,23.717988826815642,0.31943383738098874,0.15941143526297033,1417813.7651821862,-666628794.0,2.000087286958685,1.0000263354960932,-8290.268669709369,0.2090820710634428,0.13694267515923567,0.25406038389084057,117460.51332675222,150536.43724696356,56005.913792889034,0.08659368963296844,1075.0,1218.0,842.0,712.0,629.0,673.0,467.0,673.0,591.0,1475.0,2243.0,3223.0,3039.0,2066.0,4678.0,8283.0,0.04067501451198275,0.5217887055311385,0.5188863089808442,46269.0,0.5962523503857875,0.1355551233006981,0.19103503425619744,0.022995958417082712,0.05416153364023428,45650.0,0.4341949616648412,0.3621248630887185,0.07207009857612268,0.31636363636363635,0.033055859802847753,0.0515881708652793,0.033274917853231105,0.1315224534501643,80411.0
10,77889.0,878.0,0.49823466728292826,25523.0,0.6436547427810211,0.356345257218979,0.2395094620538338,0.31391294126865965,0.39254789797437606,3.017317713434941,3.806854151448746,0.3951520753893361,0.16773870508030658,0.2298655779378346,0.002067044126898535,0.013544916483714003,0.19163168098191016,0.21267444696940518,16565.0,0.056208193711563895,0.1349612910680584,0.2579568360102197,0.3485601304420393,0.20231354876811874,0.4004811103611789,0.22966962601457175,0.2377342817091532,0.13211498191509613,0.3975400891011568,0.4659302689393424,0.1590510263770048,0.3409013617009699,0.03105657656677232,0.003060766415910544,0.12130157391410809,0.02705717511664921,0.09160533797662934,0.0016596155677381617,0.0,27240.0,1959.037610619469,0.5131450064647572,0.4868549935352427,0.0630323054331865,0.1415259172976121,0.064065230052417,0.1269656377402446,0.13803145020384391,0.5294117647058824,2003.192196531792,2012.3495665476798,0.9192807063100493,0.0060633601661906,0.10067600193143408,0.5259544787077827,0.1883627019089574,0.0659324522760646,0.04430983847283407,0.17165932452276064,0.0037812041116005875,0.05961820851688693,0.15458883994126285,0.36912628487518356,0.38792217327459616,0.028744493392070483,1565.0630914826497,1431.1043566362714,28.270371720116618,0.4251569290197972,0.2065829711894415,893597.3560385391,-666629370.0,1.0000194200864567,1.0000365270435054,-8558.710087432115,0.17846648121302355,0.07719325036267848,0.28520843392885886,91874.18796015592,90449.60772480386,45863.568668233,0.13636599274235356,1798.0,1150.0,1071.0,889.0,776.0,577.0,732.0,496.0,681.0,1214.0,1819.0,2309.0,1695.0,1960.0,2428.0,5928.0,0.06386693622495865,0.49464712369049807,0.5692198125344605,40712.0,0.41933582236195716,0.23076734132442522,0.18353311063077227,0.06310178817056396,0.1032619375122814,39632.0,0.5259386354461042,0.4076756156641098,0.11826301978199434,0.2839876867178038,0.025307832054905128,0.04400484457004441,0.03693984658861526,0.08382115462252725,77889.0
11,87847.0,1035.0,0.5017132059148292,24540.0,0.7031784841075794,0.29682151589242056,0.18842705786471067,0.2893235533822331,0.5303585982070089,3.5375713121434393,4.264603616133519,0.5379125069723496,0.042517103600578275,0.20244288364998236,0.003870365521873257,0.0024588204491900693,0.2107983198060264,0.2617050098466652,22990.0,0.03635866904959759,0.12137010939474313,0.23795917902717223,0.3490159026489237,0.25529613987956334,0.4116895888681765,0.257027110334806,0.23900248058829573,0.09228082020872169,0.4994479037417328,0.3259896282470793,0.207435058414941,0.44241787060116006,0.017790273233080932,0.006367169503738793,0.1405620592300332,0.026437338310514688,0.11208108395449659,0.0004134525651778437,0.00012994223477017945,25476.0,1941.966966966967,0.6958435207823961,0.3041564792176039,0.036740461610927935,0.1420940170940171,0.02564102564102564,0.06517094017094018,0.04487179487179487,0.7222222222222222,1999.2781520692974,2010.6312529776085,0.9288191860797894,0.01095529734989411,0.18917470525187566,0.8100565237870937,0.103940964044591,0.022609514837494113,0.023983356884911287,0.037604019469304445,0.0018056209766054326,0.03250117757889778,0.09118385931857434,0.35507929031245095,0.46769508557073325,0.0535405872193437,1922.7528089887642,1735.8870967741937,27.576244343891403,0.40943193997856375,0.20994105037513397,931142.6116838488,42189.0,0.7553153665647444,0.24468463343525562,0.48025544412444365,0.12742461287693563,0.08198641368001874,0.23137727759914256,100798.92280071814,103179.25347222222,35740.16870240304,0.09461188267158416,779.0,619.0,484.0,618.0,695.0,594.0,433.0,661.0,823.0,1229.0,2237.0,3009.0,2785.0,2126.0,2966.0,4482.0,0.048580219091105055,0.5001077818495365,0.5484724372415685,48543.0,0.3801783985332592,0.26172671651937457,0.20964917701831365,0.04839008713923738,0.10005562078981521,47290.0,0.5427574540071897,0.4382533305138507,0.10450412349333897,0.33903573694227107,0.008458447874814971,0.013470078240642842,0.02442376823852823,0.07185451469655318,87847.0
2,69024.0,718.0,0.5176750115901715,34804.0,0.3745546488909321,0.625445351109068,0.45172968624296056,0.1505861395241926,0.272152626134927,1.9625905068382945,2.821877876649279,0.1452972878998609,0.0157336578581363,0.7423794622160408,0.002825104311543811,0.001564673157162726,0.09219981455725544,0.08197148817802503,5658.0,0.05726993509503941,0.07698771441817338,0.35984585071859065,0.3192512749188688,0.18664522484932777,0.05787953354017332,0.09539602724581862,0.48534289076709103,0.361381548446917,0.1816179879462216,0.8217946550690783,0.04279940372823531,0.06872493122896528,0.06280831706904766,0.0038726929046733567,0.018441394784158842,0.0002766209217623826,0.010281077592168555,0.007468764887584331,0.0,39535.0,1939.0,0.30801057349729916,0.6919894265027008,0.11966611862906286,0.13696892834495877,0.02557598816317903,0.222997252166561,0.30416402451912916,0.3102938068061721,2007.028477094511,2014.3498817966904,0.7967442545668827,0.014643488509133766,0.02109284172064441,0.1701277349184267,0.24649045149867208,0.13686606804097634,0.20134058429239915,0.24368281269760972,0.0014923485519160238,0.11235614012899962,0.3541924876691539,0.2631339319590236,0.23356519539648413,0.03675224484633869,2690.116555661275,2638.588157313301,20.1269243697479,0.27238000332170736,0.12763660521508055,1892064.5595158036,34158.0,0.44253176415481,0.55746823584519,0.49487134909596664,0.2480174692564073,0.1044776119402985,0.31190832087693077,171329.2117465224,207135.62672629225,120927.87870885489,0.04394593963453792,921.0,744.0,463.0,526.0,381.0,524.0,503.0,725.0,391.0,874.0,1403.0,2348.0,2932.0,2735.0,4529.0,14805.0,0.03305361603997181,0.5195695343027352,0.5134840817372366,45212.0,0.7247412191453596,0.03826417765195081,0.21343891002388746,0.009444395293284969,0.01411129788551712,44602.0,0.35803327205058066,0.28209497331958205,0.07593829873099861,0.29420205371956415,0.03031254203847361,0.09107214923097619,0.07768709923321825,0.14869288372718711,69024.0
3,75920.0,1044.0,0.4982613277133825,41483.0,0.33944025263360894,0.660559747366391,0.5020128727430514,0.08873514451703107,0.36634283923534944,1.8049803533977773,2.7232440877778568,0.42029768177028454,0.028503688092729188,0.4596944151738672,0.002673867228661749,0.0016201264488935722,0.08721022128556376,0.08800052687038988,6681.0,0.02606691253951528,0.04736564805057956,0.34379610115911485,0.3196522655426765,0.2631190727081138,0.2906742396482228,0.1464669598143398,0.3367839257359228,0.22607487480151459,0.4081533192834563,0.5500737074153718,0.0457526947160574,0.3297358704913377,0.06392934907561434,0.010508378301618859,0.1990505943928267,0.009696920517710065,0.17693836978131214,0.009696920517710065,0.0018798771993887018,47981.0,1939.0,0.13964756647301305,0.860352433526987,0.13542860715699964,0.355647891658972,0.008464142813173285,0.0523237919359803,0.22160664819944598,0.3619575253924284,2007.8234336859234,2012.1297400429287,0.8345389386265356,0.022732382073288458,0.11955729896329505,0.03411767157833309,0.15610345761864072,0.1375544486359184,0.1581042495987995,0.5115983410099831,0.0025218315583251704,0.33619557741606054,0.3290885975698714,0.23488464183739396,0.0908484608490861,0.008982722327588004,1624.3295019157088,1575.3216583273768,26.89927229425774,0.4078173157747268,0.19243485570187727,1279155.027932961,19181.0,-34756.31969136124,0.7029351962879933,0.25264752370916754,0.5900489357086035,0.19143794234420852,0.6547492294760437,78411.73900378677,93072.42990654206,69780.27397260274,0.14419795221843004,2874.0,3253.0,1741.0,1296.0,1795.0,1111.0,1221.0,943.0,1003.0,2127.0,2909.0,3433.0,3118.0,2874.0,3504.0,8281.0,0.05320001603013666,0.4947300925740392,0.5584699234560975,47251.0,0.575881991915515,0.16945673107447462,0.18867325559247422,0.01938583310406129,0.046602188313474846,46129.0,0.18003858743957163,0.15463157666543823,0.025407010774133407,0.2685729150859546,0.028398621257777104,0.36916039801426437,0.048386047822411064,0.10544343038002124,75920.0
4,77771.0,420.0,0.5103959059289452,26406.0,0.6578807846701508,0.3421192153298493,0.21870029538741195,0.24880708929788684,0.4748920699840945,2.9292963720366583,3.533732443011743,0.5192938241761068,0.01734579727661982,0.33921384577798924,0.0011701019660284682,0.007419217960422266,0.11555721284283345,0.08504455388255262,6614.0,0.04631546463334662,0.10867804194365509,0.2347533142173818,0.35256072314873155,0.25769245605688496,0.26090373280943024,0.2122626064178127,0.3648821218074656,0.1619515389652914,0.39779609365959034,0.4814949642033734,0.044452534077579584,0.40774447545470477,0.05197589289325729,0.014332133371084955,0.1044776119402985,0.0009707559762164785,0.09433860507759306,0.005716674082163707,0.001563995739459882,27557.0,1944.8300267498885,0.6327728546542453,0.36722714534575474,0.0417679718401858,0.14596003475238922,0.0,0.48740225890529976,0.10512597741094701,0.26151172893136404,1999.189393939394,2011.6447368421052,0.9127175576479133,0.00782040308147226,0.06115293389708157,0.711507058097761,0.18804659433174875,0.055412417897448926,0.02039409224516457,0.024385818485321335,0.0002540189425554306,0.021555321696846538,0.1036034401422506,0.3878506368617774,0.44485974525528904,0.042130856043836415,2268.677176148047,2114.079195474544,26.374049429657795,0.3902237805506858,0.18902753428895536,1185186.440677966,43251.0,0.6857876118471249,0.31421238815287506,0.5561327487109591,0.10777853518139817,0.08384702854748938,0.1490151593276271,118304.27892234549,133243.1736218444,51662.263568682414,0.06821615339918652,645.0,770.0,544.0,554.0,634.0,483.0,454.0,534.0,785.0,1178.0,2255.0,2519.0,2524.0,2492.0,3374.0,6661.0,0.05706090026478376,0.5035966460723742,0.5534642541924095,42714.0,0.5295921711850915,0.1778105539167486,0.1781149037786206,0.03853537481856066,0.0759469963009786,41635.0,0.5229974780833433,0.41863816500540413,0.10435931307793923,0.30275009006845205,0.024066290380689324,0.0354989792242104,0.03194427765101477,0.08274288459229014,77771.0
5,85934.0,1962.0,0.4858612423487793,40834.0,0.34194543762550816,0.6580545623744919,0.41009942694813145,0.12166331978253417,0.2915952392613998,2.0564235685947985,2.8695839003079566,0.21321013801289362,0.08148113668629413,0.5791421323341169,0.0034677775967603044,0.0009891311937067983,0.12170968417622827,0.10246235483045128,8805.0,0.04447599320408686,0.05382037377522284,0.3988293341401541,0.3221542113715177,0.18072008750901855,0.1450073523291624,0.15144410842604666,0.4182226784673862,0.2853258607774048,0.2532990434519515,0.7091533515198752,0.06278010522213562,0.1350837879968823,0.07908710054559626,0.013895654715510523,0.06562987139516757,0.010083787996882308,0.04219846063912704,0.011325993764614186,0.0016684528448947778,44898.0,1939.0,0.21545770681294998,0.78454229318705,0.09051628134883513,0.23917322834645668,0.01328740157480315,0.33070866141732286,0.17101377952755906,0.24261811023622049,2007.4573794447151,2013.3475274725274,0.8131499299282795,0.011105484437012,0.04669746535147958,0.10546126776248385,0.2620606708539356,0.16702302997906365,0.1461089580827654,0.31691834825604703,0.0024277250657044856,0.16526348612410352,0.3456055949040046,0.28181656198494365,0.19399527818611073,0.013319078800837453,2070.571367884452,2008.8291952054794,23.059741488020176,0.3116493944312648,0.1536084405044325,1238539.5537525355,31239.0,0.3165914401869458,0.6834085598130542,0.36352316894360787,0.40253220355586034,0.19731757217549442,0.4588899987514047,123903.95154312086,154120.4217536071,77182.45513999116,0.11277619260971065,1988.0,2287.0,1252.0,1391.0,1267.0,738.0,467.0,603.0,400.0,1146.0,1962.0,3601.0,3467.0,2915.0,5543.0,11807.0,0.03231150200666041,0.48798565451285114,0.5443258474938092,56626.0,0.6905308515522904,0.09990110549924062,0.15537032458587927,0.01792462826263554,0.03627309009995409,55292.0,0.2611408522028503,0.21399117413007307,0.04714967807277726,0.38860956377052736,0.06469290313246039,0.11357881791217536,0.04729436446502207,0.12468349851696447,85934.0
6,84828.0,4879.0,0.44299052199745365,43565.0,0.33951566624583956,0.6604843337541605,0.5166762309193159,0.11548261218868358,0.23865488350740274,1.8351658441409389,2.8164424312081673,0.38377658320365915,0.07295940019804781,0.3996675625972556,0.009973122082331306,0.006837365020983637,0.12678596689772245,0.1402249257320696,11895.0,0.042320931767812514,0.05614891309473287,0.3867355118592917,0.3541047767246664,0.16068986655349649,0.2440168527125049,0.17929896190765757,0.3088505697201349,0.2678336156597026,0.4024614514075541,0.5310199660257515,0.10305522046332997,0.25934907309387234,0.0827691474433147,0.023806592973731507,0.12630788547231592,0.02242792781703144,0.08898545015879268,0.010980083212289816,0.003200472685196583,50646.0,1994.3437044239183,0.20048203833352463,0.7995179616664754,0.1398136081822849,0.3372405027538483,0.05140516876147437,0.12907781386809772,0.2484112413500918,0.2338652732664878,2013.0630812778002,2015.0200680508299,0.7533834765146924,0.02320607421666132,0.11946254773046998,0.03625162895391541,0.027761323697824112,0.03018994589898511,0.05115902539193618,0.8541641985546736,0.00047387750266556097,0.3703352683331359,0.31613552896576236,0.2317655885953481,0.07179244165383249,0.009971172451921178,1451.4209796672828,1416.9776119402986,27.441254003449124,0.41537710660044214,0.1897447675920875,1162977.4305555555,21096.0,-252812.14007394767,0.6008248009101251,0.24869146979770831,0.5762194422127855,0.16006411724295855,0.6805719043380897,94974.17355371901,140377.78904665314,80044.45112462866,0.1767127068508274,3299.0,5131.0,1573.0,1101.0,1115.0,1147.0,1260.0,973.0,891.0,1373.0,1986.0,2420.0,2409.0,2410.0,4527.0,11950.0,0.05282298390762796,0.42300209109919085,0.6298208928084371,52035.0,0.6345344479677141,0.1543576438935332,0.1457864898625925,0.01583549533967522,0.04948592293648506,50751.0,0.1678390573584757,0.15030245709444148,0.017536600264034207,0.29059525920671514,0.037339165730724516,0.33477172863588894,0.038344072037989396,0.1311107170302063,84828.0
7,74848.0,4569.0,0.5131065626336041,27398.0,0.6226731878239288,0.3773268121760712,0.2669902912621359,0.23939703628002043,0.4667493977662603,2.5651142419154684,3.1127198124267292,0.3492544890979051,0.03942657118426678,0.47321237708422403,0.0013761222744762718,0.0014429243266353142,0.1352875160324925,0.11775865754595981,8814.0,0.04048204360837965,0.10549380076955964,0.2713232150491663,0.3110437152629329,0.2716572253099615,0.14162211146352516,0.18725872224739465,0.36639782510194835,0.30472134118713184,0.31149796921761436,0.6079812860285723,0.07375588292628589,0.2145562393828845,0.09316605864824974,0.01054053301400763,0.05590520482330335,0.008229134757303183,0.039530479823999556,0.007867108524325378,0.0,29102.0,1947.5010464629552,0.6089495583619242,0.3910504416380758,0.05855267679197306,0.16842723004694835,0.028755868544600938,0.3245305164319249,0.15845070422535212,0.3198356807511737,1998.7534435261707,2013.9114724480578,0.8322256901469085,0.013385890329871388,0.051428038081015495,0.6872723524156416,0.09672874716514329,0.024774929558105972,0.03807298467459281,0.15246374819600028,0.0006872379905161157,0.04556387877121847,0.11841110576592674,0.2958559549171878,0.4875609923716583,0.05260806817400866,2358.7786259541986,2238.839285714286,25.066022380467956,0.37511666977786073,0.23501960052268062,1450822.4520942853,39091.0,-34107.76580287023,0.31802716737868053,0.5222718041898247,0.10865756624571137,0.05028770079117718,0.19955198805301474,135995.085995086,172386.66167103784,69629.70820863616,0.07257961466926015,1077.0,485.0,717.0,515.0,463.0,498.0,580.0,641.0,574.0,1013.0,1395.0,2974.0,2051.0,1628.0,3548.0,9239.0,0.056371263765076035,0.49039424131191306,0.565977022453163,39589.0,0.63416605622774,0.12074060976533886,0.1772967238374296,0.018338427340928037,0.04945818282856349,38658.0,0.5109162398468622,0.4205597806404884,0.09035645920637385,0.24915929432459,0.013787573076724093,0.06050494076258472,0.02397951264938693,0.14165243933985203,74848.0
8,74886.0,547.0,0.43624976631146006,35954.0,0.4003170718139845,0.5996829281860154,0.3885242253991211,0.15044223174055738,0.2880903376536686,2.0676141736663514,2.8486069617175014,0.13779611676414819,0.029685121384504447,0.6875650989504046,0.009360895227412333,0.0025104826002189996,0.13308228507331143,0.12296023288732207,9208.0,0.03974040541623267,0.08220495152632,0.27090510909916404,0.42037229922816016,0.18677723473012312,0.08529083665338645,0.14863745019920319,0.41346613545816735,0.35260557768924305,0.21818497449456506,0.77181198720623,0.08556528994576554,0.06277291058267279,0.06741760534000835,0.012432206925323321,0.022110972048393827,0.010429703796412181,0.007940481157001808,0.003504380475594493,0.00023640661938534278,39476.0,1939.0,0.42070423318684985,0.5792957668131501,0.0892187658324045,0.22657580919931858,0.025837592277115275,0.4389551391254969,0.16609880749574105,0.14253265190232822,2005.2603275482768,2013.0113214550854,0.8512830874924228,0.01624570620327339,0.03922604186671788,0.29258283514033845,0.3352416658222718,0.14859661566521432,0.09501975884081468,0.12600060796433277,0.0025585165670280676,0.08202452122808795,0.30190495490931196,0.31104975174789745,0.2848819535920559,0.020138818522646672,2299.0306946688206,2192.5556858147716,20.954232622161047,0.2839927021317457,0.12079892452467832,1501690.902942171,38322.0,0.5415427169771933,0.45845728302280675,0.5117378415191091,0.24531345608277244,0.1021420071400238,0.3492894180910313,167654.37215084955,202163.73982983248,100046.62687284673,0.07014025376706376,1138.0,936.0,779.0,748.0,604.0,641.0,500.0,517.0,439.0,1188.0,1302.0,2801.0,2547.0,2133.0,4826.0,14855.0,0.037405384689086905,0.43148414295295584,0.605921241736131,50193.0,0.7559819098280637,0.07799892415277031,0.1308748231825155,0.010698703006395313,0.024445639830255213,49009.0,0.3069640270154461,0.2642779897569834,0.04268603725846273,0.3761554000285662,0.05323512007998531,0.06280479095676304,0.042420779856761,0.1584198820624783,74886.0
