Supervisor District,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
1,76976.0,2713.0,0.5291129702764498,31589.0,0.5168887904017221,0.48311120959827786,0.32675931495140714,0.22909873690208618,0.3985248029377315,2.350913292601855,3.065654091131798,0.3915636042402827,0.018486281438370403,0.45499896071502804,0.0032867387237580543,0.001130222406983995,0.1305341924755768,0.08779359800457286,0.050561213884847224,0.0977447516108917,0.278372479733943,0.33427302016212845,0.23904853460818956,0.15187632759027614,0.17787180956876497,0.3980073502141003,0.2722445126268586,0.3070567449594679,0.6026353237370696,0.04379891631547261,0.2635323737069673,0.0769525477532702,0.013080838487220185,0.09634119643150348,0.0018471895353292102,0.07236878112856439,0.015639538065787315,0.005432105522412567,34749.0,1939.0,0.39295324321757574,0.6070467567824243,0.09093786871564649,0.17151898734177215,0.03734177215189873,0.18164556962025316,0.15379746835443037,0.45569620253164556,2001.0640539401602,2012.1494055292937,0.8436916195237468,0.013761347191159057,0.2772453883564995,0.43448732337621226,0.1359175803620248,0.09795965351520908,0.05439005439005439,0.0,0.06382917494028605,0.24354657687991021,0.33681544792655904,0.3205559872226539,0.03525281303059081,2325.066430469442,2228.720238095238,23.491583969465648,1604100.191448628,-666630374.0,2.0000830040186557,1.0000258779087674,-8660.236619205987,0.2061160530564437,0.1341335696447273,0.2527117229870672,143376.86567164178,178636.9894446994,71377.46874350448,0.08475347120040665,0.04393715181058496,0.5284427228412256,0.5154944289693594,43927.0,0.643909213012498,0.11632936462767773,0.1670498782070253,0.017369727047146403,0.05534181710565256,43317.0,0.40690721887480663,0.33520326892444074,0.07170394995036591,0.23796661818685505,0.03068079506891059,0.04857215411962971,0.03061153819516587,0.24526167555463213,76976.0
10,78205.0,1091.0,0.49853589923917907,26304.0,0.6223388077858881,0.37766119221411193,0.26197536496350365,0.2947840632603406,0.3985705596107056,2.931645377128954,3.813989004276115,0.40409180998657374,0.1576497666389617,0.20808132472348315,0.00461607314110351,0.015689533917268718,0.20987149159260918,0.20713509366408797,0.053999104916565434,0.13487628668243717,0.2533853334185794,0.34885237516782813,0.20888689981458985,0.3816478887709325,0.22855381665011473,0.24209787336050134,0.14770042121845142,0.39051211559363214,0.4644237787569949,0.1535778973263767,0.33962315157741074,0.037400989429861316,0.0049741829093563296,0.12704441620934823,0.022910978346084184,0.09982157822172961,0.0016896001730150577,0.00040550404152361386,28542.0,1961.4221105527638,0.5022049878345499,0.49779501216545013,0.07841076308597855,0.21894548704200179,0.12064343163538874,0.1613047363717605,0.08042895442359249,0.4186773905272565,2004.4471744471743,2012.3531269740997,0.9125392700616686,0.005210151391743914,0.4877373694905753,0.1987947586013594,0.06068250297806741,0.04537173288487142,0.20310419732324295,0.00430943872188354,0.0734706747950389,0.16372363534440473,0.3640950178684045,0.3683694205031182,0.030341251489033706,2028.8865546218487,1850.465477114042,29.067159763313608,1095175.5209311056,37468.0,0.6339276182342265,0.36607238176577345,0.47909980180295375,0.17217913625304138,0.07903103709311128,0.2661524362303345,108875.0,103961.13602391629,55266.33591202609,0.13190758462154378,0.06673731253887442,0.5061623165702965,0.560574995968578,40488.0,0.46038332345386285,0.2139152341434499,0.17741059079233354,0.04836000790357637,0.09993084370677732,39367.0,0.5135773617496888,0.4073208524906648,0.10625650925902405,0.213478294002591,0.023344425534076764,0.047171488810424975,0.036401046561841136,0.1660273833413773,78205.0
11,81082.0,1166.0,0.4989763449347574,23703.0,0.7104585917394423,0.28954140826055774,0.18419609332152048,0.3041387166181496,0.5106104712483652,3.371556343078935,4.005463182897862,0.541316198416418,0.04118053328728941,0.180027626353568,0.003699958067141906,0.004439949680570287,0.22933573419501246,0.2523618065661922,0.03565526257369083,0.12578624108926764,0.2181618608322439,0.36159690190177846,0.25879973360301917,0.40324377666008787,0.24947475647800343,0.2499522505889094,0.0973292162729993,0.4836461853432328,0.3351664513818726,0.20475502295660625,0.4282717959867504,0.025015666764717167,0.006791062910053587,0.13913365988412987,0.02256014119272039,0.11313322505147651,0.0008568761110613754,0.0,25035.0,1943.0844235991112,0.6891532717377548,0.3108467282622453,0.053205512282804075,0.11336336336336336,0.06456456456456457,0.15165165165165165,0.02252252252252252,0.6478978978978979,2001.284625158831,2011.8747924277648,0.9271643274127438,0.010843373493975903,0.8102656281206311,0.11060515278609946,0.029239065308568006,0.018374276013580985,0.030397443578989415,0.0011184341921310166,0.03559017375674056,0.09175154783303376,0.3616936289195127,0.46227281805472337,0.04869183143598962,2181.5191387559807,1996.1116193961575,27.6226501305483,1165550.3258508327,39644.0,0.746645141761679,0.25335485823832105,0.4889371253792457,0.1250474623465384,0.07878787878787878,0.2276058631921824,116570.3781512605,119932.60756868844,44806.90412175329,0.09878951580632253,0.06732553623063312,0.4958568900781149,0.5714686461525182,43214.0,0.40341093164252323,0.24741981765168694,0.19026241495811544,0.05551441662424214,0.10339241912343222,42399.0,0.5300596712186608,0.41967970942710914,0.11037996179155168,0.27892167268095946,0.010070992240383029,0.016014528644543502,0.02674591381872214,0.13818722139673106,81082.0
2,66983.0,688.0,0.5136825761760446,34370.0,0.3744544661041606,0.6255455338958394,0.4487925516438755,0.14428280477160313,0.2692173407041024,1.9288623799825428,2.7645687645687644,0.15454667602227432,0.01610856485974053,0.6951763880387561,0.0020751533971306154,0.0019557201080871267,0.13013749757401133,0.09993580460713912,0.05086365197139573,0.07876625412418076,0.3543884269142917,0.323723929952376,0.19225773703775584,0.0542242116563859,0.09860436341139436,0.4915479374783922,0.35562348745382755,0.1933177074780168,0.8022681515037121,0.05338492512897949,0.06821756637724928,0.06927142317855794,0.006857933811501195,0.018057128476154524,0.0008808355354221719,0.011875550522209639,0.004781678620863219,0.00014156285390713478,40304.0,1939.0,0.29668315391329647,0.7033168460867035,0.1472310440651052,0.12504213009774182,0.028479946073474892,0.17997977755308392,0.3201887428378834,0.34630940343781597,2008.8180235089246,2013.9424688697318,0.7720780496652208,0.013769024983752248,0.16683207622072252,0.23493946010321556,0.13586740770146882,0.20136959110758237,0.2599493846764589,0.0010420801905518062,0.12018658197697499,0.3494442238983724,0.26607780865422787,0.22719829297340213,0.037093092497022626,3050.5035545023698,2952.921157118548,20.694595835884876,2000000.1742166518,35258.0,-18907.82906007147,0.5907595439332918,0.5263723631369154,0.24861798079720687,0.09698931058154359,0.31258015140859635,200401.19360424843,211864.88135593222,145838.36197244076,0.047732230161714934,0.03120026163741415,0.5105636105963153,0.5206366510410989,44339.0,0.7446040731635806,0.03692009292045378,0.19145673109452174,0.01172782426306412,0.015291278558379756,43701.0,0.3069494977231642,0.24521178005079974,0.061737717672364474,0.20653989611221713,0.02725338092949818,0.08738930459257226,0.06375140156975813,0.3081165190727901,66983.0
3,72833.0,1170.0,0.4881715705792704,40537.0,0.33522460961590644,0.6647753903840935,0.520906825862792,0.09009053457335274,0.37109307546192366,1.7678417248439697,2.700272279049231,0.416088860818585,0.035176362363214475,0.4217044471599412,0.004544643224911785,0.0015103043949857894,0.12097538203836174,0.09915834855079428,0.029354825422541978,0.046558565485425564,0.3247291749618991,0.33244545741628106,0.26691197671385225,0.2790499332185443,0.15712147788166003,0.333971646042193,0.22985694285760264,0.39859678991665864,0.5495862507956716,0.05127661079284249,0.3179998585472806,0.07071221444232266,0.010425065421882736,0.18006931183251998,0.007992078647712002,0.15951623169955442,0.01099087629959686,0.0009477332201711578,48860.0,1939.0,0.1445099538693046,0.8554900461306955,0.17034383954154728,0.3286074732668509,0.0070887900997236575,0.13588850174216027,0.19488165325003004,0.33353358164123514,2009.6037099494097,2012.1776129640743,0.8126200312253893,0.018113489091838568,0.03686041751944331,0.15480966025378634,0.12744576340564878,0.1352640196479738,0.543061809250921,0.0025583299222267705,0.33061809250921,0.32406876790830946,0.22984036021285306,0.10282439623413836,0.012648383135489152,1840.750097162845,1772.2199255890864,27.28105035971223,1399487.8361075544,19514.0,-34163.213487752386,0.7069796043865942,0.26792799967047903,0.5769050497076744,0.2109935131444179,0.6387150725222758,86479.93995633187,100877.42980561555,80283.21502615573,0.15714464308038506,0.059959611583741516,0.4847254447022428,0.5752341668814986,43749.0,0.5970650757731605,0.14649477702347483,0.1915472353653798,0.019863311161397976,0.045029600676586894,42647.0,0.17748024480033767,0.14737261706567872,0.030107627734658943,0.22456444767510025,0.028560039393157783,0.30750111379463974,0.03936970947546135,0.22252444486130327,72833.0
4,74846.0,588.0,0.4993987654650883,25918.0,0.6694189366463462,0.33058106335365384,0.21417547650281657,0.2611698433521105,0.5003086657921136,2.8651130488463616,3.442420749279539,0.5263474333965743,0.014309381930898112,0.32661732089891243,0.001149026000053443,0.0062394783956390455,0.12533735937792267,0.08401250567832616,0.048299174304572055,0.112537744168025,0.20484728642813244,0.3608075247842236,0.2735082703150469,0.256116376460216,0.20357403231549143,0.3616757938997304,0.17863379732456214,0.3948908425299949,0.4904325363956704,0.04813915289691286,0.4062557032752594,0.04783029860594404,0.007342308826213306,0.1132231753028878,0.0039027951313332677,0.10203422667097191,0.004239727085117435,0.0004913590992685769,27499.0,1944.2209172259509,0.6461146693417702,0.3538853306582298,0.05749299974544529,0.1859582542694497,0.0,0.301707779886148,0.11448450347881088,0.3978494623655914,2000.6165413533834,2011.7908578584847,0.9056280444198567,0.010713659240868426,0.7243172478999237,0.19084330339285066,0.04432888468671588,0.014764173242663369,0.025091821520782574,0.0006545692570638932,0.03094657987563184,0.10018546128950144,0.37037710462198625,0.4585257645732572,0.03996508963962326,2633.1203407880726,2465.4654654654655,25.598872180451128,1384112.653281229,42222.0,0.7070721424849604,0.2929278575150396,0.5641183229564706,0.11019368778455128,0.08109399259524662,0.1633231574356738,140911.16173120728,159612.67605633804,62104.3088475002,0.07395710138694764,0.06455432414511698,0.5027469925168135,0.5618073316283035,39483.0,0.5508953220373325,0.1586505584682015,0.1752399766988324,0.0362941012587696,0.07892004153686397,38444.0,0.4880345437519509,0.3964207678701488,0.0916137758818021,0.2231557590261159,0.025413588596399958,0.041202788471543024,0.040448444490687754,0.18174487566330247,74846.0
5,82905.0,2719.0,0.4748326397684096,39763.0,0.337122450519327,0.662877549480673,0.42406257073158465,0.12368282071272288,0.28916329250811057,2.0165983451952822,2.841253263707572,0.20039804595621494,0.08843857427175683,0.5598576684156564,0.006272239310053676,0.002713949701465533,0.14231952234485254,0.10870273204269948,0.040757493516675715,0.06091309329955974,0.3763464206018937,0.33029370966769195,0.1916892829141789,0.14323234082070926,0.1457861744732718,0.419089906552905,0.29189157815311395,0.24370062119293168,0.7124839675074818,0.06443175816714031,0.12170862359479918,0.07890501219726882,0.02247063853330986,0.06336292533259563,0.009292558408570782,0.040515051681211174,0.012436184392525714,0.00047783114956114983,45398.0,1939.0,0.21962628574302745,0.7803737142569726,0.12412441076699414,0.2574977817213842,0.019343389529724933,0.3283052351375333,0.1256433007985803,0.2669032830523514,2010.041996830428,2012.849263043675,0.7977584272403532,0.011183472364505585,0.09427728093748623,0.2751883342878541,0.15397154059650206,0.14820036124939426,0.32657826335961937,0.0017842195691440152,0.16681351601392133,0.3543107625886603,0.2719943609850654,0.19467817965549142,0.012203180756861536,2389.541773651985,2316.1644116441166,22.97083885209713,1355926.5811587793,29884.0,0.3332887163699639,0.6667112836300362,0.3604607683493155,0.3907149862937907,0.17164777281575633,0.4523686754753464,142503.24359390204,191404.88656195463,93482.65605210784,0.12174923547400611,0.03908132800978382,0.47588216251213983,0.5631991654976439,53274.0,0.705146976010812,0.09173330329992116,0.15112437586815333,0.017569546120058566,0.03442579870105492,52219.0,0.24326394607326834,0.20023363143683334,0.043030314636435016,0.2891476282579138,0.05704820084643521,0.11160688638235125,0.03870238801968632,0.2602309504203451,82905.0
6,89203.0,6656.0,0.43710413326906045,45676.0,0.33253787547070673,0.6674621245292933,0.5208643488921972,0.11014537174883965,0.2543567737980559,1.807229179437779,2.821844756073474,0.3903231954082262,0.07016580159860095,0.35601941638734125,0.010683497191798482,0.00545945764155914,0.16734863177247403,0.1650392924004798,0.041467215228187394,0.0574756454379337,0.35754402878826946,0.3614004013317938,0.18211270921381567,0.268437742422799,0.167862052070716,0.2988145950433469,0.26488561046313813,0.41523267154692106,0.4919886788922156,0.12387724550898203,0.26677114520958084,0.09006596182634731,0.027296968562874252,0.13998175523952097,0.03382297904191617,0.08942271706586827,0.010595995508982036,0.005999719311377246,54821.0,1997.3341232227488,0.20991330239075226,0.7900866976092478,0.1668156363437369,0.41541826134499726,0.02875888463641334,0.12618917441224714,0.18698742482230726,0.24264625478403498,2012.2244787435689,2013.892629467803,0.7626747610611481,0.020841561255232958,0.04055015413801281,0.03152076758906259,0.027909012969482498,0.052498130278542894,0.8470659054012148,0.00045602962368435454,0.3561591360974809,0.32137319640283835,0.23430802064902137,0.07825468342423524,0.00990496342642418,1857.3660177841864,1806.865950490425,26.88781200212427,1233978.6381842457,23860.0,-111762.67137468567,0.6091785414920369,0.26747979328049504,0.5435020579735529,0.19002920317062996,0.6374140988694302,100259.83667409058,134390.78282828283,87640.2194993442,0.1688014899962293,0.07015849473121433,0.4222789438283635,0.6478795509028509,53883.0,0.6422433791733942,0.15279401666573872,0.12876046248352913,0.024070671640406063,0.05213147003693187,52798.0,0.17233607333611123,0.14903973635364975,0.023296336982461457,0.2275843781961438,0.03170574642978901,0.2831167847266942,0.0342247812417137,0.2510322360695481,89203.0
7,72373.0,4115.0,0.5124286681497243,27160.0,0.6203976435935199,0.3796023564064801,0.27072901325478643,0.23718703976435934,0.4731958762886598,2.513181148748159,3.088902077151335,0.3751122656239205,0.03824630732455474,0.43220538045956364,0.002708192281651997,0.0008014038384480401,0.15092645047186104,0.11805507578793197,0.03364514390725823,0.11482182581902091,0.25166843988780346,0.31771517002196953,0.28214942036394786,0.1420211404118357,0.17949233751508722,0.3734318422881387,0.3050546797849384,0.30714492973899105,0.6044353570305128,0.06807458034258915,0.23906888958792072,0.07799765506591552,0.010423517973061855,0.051845920672595726,0.003388715719637393,0.043166804884326115,0.004661271411821899,0.00034316108553290056,29432.0,1947.9049719326383,0.624300441826215,0.375699558173785,0.07719488991573797,0.28433098591549294,0.0035211267605633804,0.3191021126760563,0.08846830985915492,0.3045774647887324,2001.795918367347,2013.0334954078876,0.8516309335113039,0.013167042073357248,0.6860220168524055,0.10026501766784453,0.021439249796140255,0.039854580048926336,0.15112802391954336,0.0012911117151399836,0.04287849959228051,0.13369801576515358,0.28713645012231587,0.473837999456374,0.06244903506387605,2738.59375,2604.9791086350974,25.7848623853211,1701792.3970848927,42308.0,-15756.731020138035,0.2698780372506382,0.5845826482251668,0.11229749631811488,0.054965793819297004,0.2075656605252842,159190.734055355,195072.40547063557,85305.95111436586,0.0827143378329077,0.05587335039389834,0.4982186763008681,0.5576546740930303,37631.0,0.678084557944248,0.09263639021019904,0.16438574579469054,0.02165767585235577,0.04323563019850655,36731.0,0.46154474422150227,0.38370858402983854,0.07783616019166371,0.19310664016770576,0.017342299420108356,0.05257139745718875,0.02689826032506602,0.24853665840842884,72373.0
8,73834.0,724.0,0.44243844299374274,35873.0,0.39960415911688457,0.6003958408831155,0.3919103504028099,0.15036378334680678,0.29623951161040335,2.038023025673905,2.8247645622602024,0.14995801392312486,0.03086653845112008,0.6443779288674595,0.009115041850637917,0.0010157921824633638,0.16466668472519436,0.12552482596093942,0.038071890998726876,0.08631524771785357,0.2559119105019368,0.42702548961183195,0.19267546116965084,0.08627084206792014,0.13019640726287612,0.4064566065727094,0.3770761440964943,0.22142915188124712,0.7600636413556172,0.08547935175928924,0.06855525674781408,0.07404643566168706,0.011855314475592413,0.0214437576559706,0.006983653182771778,0.010968277881812934,0.0032947073483237826,0.00019711924306210665,40220.0,1939.0,0.4327488640481699,0.5672511359518301,0.10808055693684734,0.3031976075454336,0.02461467678858983,0.3855532551184725,0.14906832298136646,0.13756613756613756,2007.85890073831,2012.9069046306504,0.8427395689737536,0.010700588259380075,0.27841869716558926,0.3467180507210343,0.1513923421183491,0.09214321233217306,0.12973644952759822,0.0015912481352560915,0.08085529587270016,0.29144704127299853,0.32642963699651917,0.28117851815017403,0.020089507707608156,2698.6224028906954,2604.886897140418,21.788797533401848,1681861.9582664527,38193.0,0.5568559683711675,0.44314403162883254,0.5172820109976434,0.24090541632983023,0.09701107961865499,0.35068062312644355,190325.7142857143,208197.57506123878,123162.77189370751,0.0681392635206643,0.03751222374339918,0.43403090162331315,0.6034813221200861,49171.0,0.7907913200870432,0.07093612088426104,0.10386203249883061,0.008297573773158975,0.02611295275670619,48044.0,0.28544667388227457,0.24773124635750562,0.03771542752476896,0.2658188327366581,0.048538839397219216,0.05070352177170927,0.03332362001498626,0.3161685121971526,73834.0
