tract,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home
10101,2118,0,0.507082153,1232,0.37012987,0.62987013,0.536525974,0.098214286,0.324675325,1.719155844,2.614035088,0.482058546,0.044853636,0.3503305,0.027856468,0.023607177,0.071293673,0.075070822,0.074126534,0.052880076,0.259678942,0.374881964,0.238432483,0.126662811,0.129554656,0.454019665,0.289762869,0.454674221,0.569607343,0.007649159,0.274349822,0.142784294,0.005609383,0.263131056,0,0.192758797,0.070372259,0,1398,1968.446602,0.140422078,0.859577922,0.118741059,0,0,0,0.186746988,0.813253012,2013.5,2015.243151,0.773371105,0.053352219,0.163090129,0.168812589,0.032188841,0.034334764,0.589413448,0.012160229,0.283261803,0.367668097,0.225321888,0.123748212,0,1913.900415,1873.595506,31.04410112,1455357.143,916,0.307860262,0.692139738,0.432483475,0.378246753,0,0.440037771,80000,84042.55319,64677.90368,0.121340888,0.074270557,0.512820513,0.561450044,1047,0.799426934,0.079274117,0.110792741,0.010506208,0,1047,0.221585482,0.214899713,0.006685769,0.287488061,0.043935053,0.160458453,0.016236867,0.270296084
10102,1783,0,0.572630398,870,0.555172414,0.444827586,0.36091954,0.255172414,0.466666667,2.049425287,2.697722567,0.456533932,0.168255749,0.225462703,0,0,0.149747616,0.140213124,0,0.157038699,0.26977005,0.29220415,0.2809871,0.250769231,0.354615385,0.136923077,0.257692308,0.408861469,0.467750981,0.130117779,0.362871565,0.014021312,0.025238362,0.111048794,0,0.111048794,0,0,1009,2000.819209,0.218390805,0.781609195,0.137760159,0.100719424,0,0,0.582733813,0.316546763,2012.096774,2009.219653,0.958496915,0.008412787,0.077304262,0.167492567,0.165510406,0.098116947,0.491575818,0,0.052527255,0.246778989,0.496531219,0.204162537,0,544.3396226,395.0819672,30.46617647,1247747.748,744,0.27016129,0.72983871,0.417274257,0.35862069,0.068421053,0.439705882,28882.35294,28715.68627,47691.08245,0.174425126,0.021794872,0.498717949,0.523076923,763,0.498034076,0.415465269,0.086500655,0,0,739,0.270635995,0.247631935,0.02300406,0.391069012,0,0.224627876,0,0.113667118
10201,2499,0,0.489795918,1325,0.394716981,0.605283019,0.424150943,0.055849057,0.316226415,1.886037736,2.510516252,0.067226891,0.080432173,0.762304922,0,0,0.090036014,0.06202481,0.006002401,0.029211685,0.404961985,0.297318928,0.262505002,0.031496063,0.165354331,0.407596109,0.395553497,0.121248499,0.871175523,0.048309179,0.006038647,0.068035427,0.006441224,0.010869565,0,0,0.010869565,0,1568,1939,0.341132075,0.658867925,0.15497449,0.386831276,0,0.16872428,0,0.444444444,2013.214286,2015.633075,0.758303321,0.005602241,0.133928571,0.141581633,0.120535714,0.242984694,0.360969388,0,0.107142857,0.422193878,0.233418367,0.237244898,0,3044.303797,3044.303797,20.14936709,1923664.122,1298,0.458397535,0.541602465,0.519407763,0.324528302,0.199115044,0.389461627,167321.4286,204283.3881,134582.0328,0.057222889,0.018836565,0.495844875,0.52299169,1771,0.798983625,0.01863354,0.174477696,0,0.007905138,1762,0.219636776,0.182746879,0.036889898,0.222474461,0.017026107,0.123155505,0.092508513,0.325198638
10202,1891,5,0.492332099,1030,0.390291262,0.609708738,0.417475728,0.06407767,0.363106796,1.831067961,2.495024876,0.117927023,0.028027499,0.762030672,0,0.008989952,0.083024855,0.000528821,0.032786885,0.020095188,0.364357483,0.32575357,0.257006875,0.033858727,0.107413894,0.503210741,0.355516637,0.107350608,0.873701476,0.006014215,0.112629852,0.007654456,0,0,0,0,0,0,1419,1958.404255,0.309708738,0.690291262,0.274136716,0,0.131105398,0,0.609254499,0.259640103,1998.333333,2014.044118,0.845130389,0,0.088090204,0.233967583,0.118393235,0.183932347,0.375616631,0,0.101479915,0.504580691,0.238900634,0.147991543,0.007047216,2553.240741,2541.970803,17.76302817,1062500,1184,0.304898649,0.695101351,0.626123744,0.14368932,0.053291536,0.184247539,193356.6434,205921.2895,152295.1877,0.055526177,0.035135135,0.472972973,0.562162162,1428,0.753501401,0.028011204,0.218487395,0,0,1396,0.271489971,0.229942693,0.041547278,0.283667622,0.062320917,0.148997135,0.012893983,0.220630372
10300,3996,0,0.488488488,2151,0.427708043,0.572291957,0.421199442,0.069270107,0.40213854,1.857740586,2.485869565,0.262512513,0,0.686686687,0.022772773,0,0.028028028,0.063313313,0.015015015,0.021271271,0.331831832,0.325575576,0.306306306,0.161676647,0.106423517,0.427327164,0.304572673,0.241991992,0.707317073,0.048780488,0.201727642,0.030995935,0.011178862,0.041666667,0,0.041666667,0,0,2527,1939,0.174337517,0.825662483,0.148793035,0,0,0.106382979,0.510638298,0.382978723,2007.26087,2008.099174,0.822940145,0.029551716,0.050257222,0.500197863,0.151958844,0.073209339,0.224376731,0,0.070834982,0.309062129,0.489117531,0.130985358,0,2240.497076,1897.167488,18.08241895,1072784.81,1746,0.250286369,0.749713631,0.436936937,0.321710832,0.178666667,0.351914414,142740.3846,173113.2075,97288.58859,0.042042042,0.027928908,0.418933624,0.608995285,2680,0.678358209,0.07238806,0.207089552,0,0.042164179,2680,0.229850746,0.21380597,0.016044776,0.23358209,0.025746269,0.215671642,0.044029851,0.251119403
10401,2202,16,0.509082652,993,0.478348439,0.521651561,0.355488419,0.247734139,0.426988922,2.201409869,3.031578947,0.207992734,0.005449591,0.540871935,0.000454133,0.005449591,0.239782016,0.182107175,0.124886467,0.09582198,0.257947321,0.336966394,0.184377838,0.150807899,0.090365051,0.390783962,0.368043088,0.150317893,0.87804878,0.001037883,0.080954852,0.039439543,0.000518941,0.051894136,0,0.051894136,0,0,1292,1939,0.328298087,0.671701913,0.231424149,0.401337793,0,0.153846154,0.053511706,0.391304348,2005.154639,2009.215247,0.898630137,0,0.024767802,0.607585139,0.216718266,0.150928793,0,0,0.026315789,0.447368421,0.317337461,0.191950464,0.017027864,2597.328244,2560.416667,20.4516,1626865.672,647,0.564142195,0.435857805,0.293823797,0.440080564,0.076687117,0.617691154,119929.2453,190104.1667,74730.56312,0.110354223,0.084355828,0.469325153,0.615030675,1194,0.685092127,0.036850921,0.272194305,0,0.005862647,1094,0.225776965,0.171846435,0.05393053,0.121572212,0.088665448,0.365630713,0,0.198354662
10402,2292,0,0.411867365,1311,0.323417239,0.676582761,0.596491228,0.077803204,0.418764302,1.748283753,3.080188679,0.212041885,0,0.67495637,0,0,0.113001745,0.070680628,0.007417103,0.07547993,0.289267016,0.317190227,0.310645724,0.102933608,0.112197633,0.45136387,0.333504889,0.2491274,0.649230769,0.074725275,0.184615385,0.091428571,0,0.010989011,0.010989011,0,0,0,1589,1947.880435,0.308161709,0.691838291,0.174952801,0,0,0,0.492805755,0.507194245,2001.836735,2013.639706,0.909249564,0.05104712,0.0969163,0.369414726,0.138451857,0.012586532,0.371302706,0.011327879,0.203901825,0.40780365,0.265575834,0.122718691,0,2341.666667,2295.258621,21.70295455,2000000.364,1327,0.521477016,0.478522984,0.578970332,0.372234935,0.106435644,0.490628445,163666.6667,213574.4261,183418.4119,0.039703316,0.013850416,0.45567867,0.558171745,1424,0.742977528,0.01755618,0.231039326,0,0.008426966,1342,0.233233979,0.233233979,0,0.200447094,0,0.286140089,0.030551416,0.249627422
10500,3430,0,0.497959184,1810,0.435911602,0.564088398,0.477900552,0.118232044,0.403867403,1.895027624,2.741444867,0.358309038,0.047230321,0.526239067,0,0,0.068221574,0.040233236,0.066472303,0.058600583,0.248396501,0.330612245,0.295918367,0.166608208,0.07997194,0.304103823,0.449316029,0.435276968,0.497501562,0.013741412,0.290755778,0.183947533,0.014053716,0.078388507,0,0.078388507,0,0,2051,1973.009434,0.222651934,0.777348066,0.117503657,0.348547718,0.033195021,0,0.402489627,0.215767635,2008.263889,2014.963054,0.856599356,0.018437226,0.061921014,0,0.00487567,0,0.933203315,0,0.171623598,0.418820088,0.290102389,0.115065822,0.004388103,2678.010471,2623.036649,25.553125,1286016.949,1325,0.366792453,0.633207547,0.386297376,0.357458564,0.022332506,0.45344705,157717.0418,182682.2917,108213.586,0.143440233,0.066067653,0.541226216,0.524841438,1767,0.720996038,0.116581777,0.116581777,0.02942841,0.016411998,1758,0.172354949,0.155290102,0.017064846,0.170648464,0.032992036,0.376564278,0.005119454,0.242320819
10600,3277,0,0.414403418,1792,0.343191964,0.656808036,0.517299107,0.075892857,0.368861607,1.828683036,2.752845528,0.53433018,0.031736344,0.355813244,0,0,0.078120232,0.072627403,0,0.062862374,0.368324687,0.306072627,0.262740311,0.294820717,0.229626947,0.326331039,0.149221297,0.424168447,0.499237107,0.025022887,0.423252975,0.045773573,0.006713457,0.249618554,0.003967043,0.23710711,0,0.003051572,2202,1939,0.073660714,0.926339286,0.186194369,0.448780488,0,0,0.080487805,0.470731707,2007.142857,2014.301887,0.830027464,0.031431187,0.016348774,0.273841962,0.297002725,0.046775658,0.366030881,0,0.340145322,0.282470481,0.245231608,0.107629428,0.024523161,1584.951456,1530.612245,27.11845638,904255.3191,653,0.148545176,0.851454824,0.199267623,0.700892857,0.340909091,0.729518072,62142.85714,81573.27586,53962.64876,0.138236192,0.107327586,0.389655172,0.717672414,2071,0.508450024,0.149203283,0.213906325,0.026557219,0.101883148,2037,0.128129602,0.108492882,0.019636721,0.266077565,0.035346097,0.411880216,0.042218949,0.11634757
10701,3458,0,0.573452863,1795,0.542061281,0.457938719,0.441225627,0.097493036,0.720891365,1.926462396,2.648509764,0.964430307,0,0.034123771,0.001445922,0,0,0.009253904,0,0.064198959,0.175824176,0.252168884,0.507807981,0.841290323,0.040322581,0.078064516,0.040322581,0.864661654,0.134181608,0,0.862637363,0.003181029,0,0.693175246,0,0.68768074,0,0,2026,1939,0.028412256,0.971587744,0.114017769,0.722943723,0,0.12987013,0,0.147186147,2000.555556,2011.704545,0.911509543,0.017061885,0.01727542,0.059723593,0.073543929,0.188055281,0.646100691,0.015301086,0.717176703,0.131786772,0.072063179,0.043435341,0.035538006,703.1690141,673.6772487,32.77898551,986111.1111,190,-3508771.926,1,0.054945055,0.894150418,1,0.891055046,23399.4709,27009.25926,21594.50549,0.256506651,0.083240223,0.545251397,0.537988827,1641,0.201096892,0.472882389,0.183424741,0.063985375,0.078610603,1466,0.081173261,0.081173261,0,0.46521146,0.009549795,0.334242838,0,0.109822647
